"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"190039","2019-06-24","23:56","rua marechal deodoro ",,,,,"10",,,,,,,,"6",,,,,,,,
"190040","2019-06-30","03:08","rua  de maio",,,"-20.468384374534306, -54.614781142926994","8",,,,,,,,,,,,,,,,,
"190041","2019-06-30","22:58","avenida duque de caxias",,,"-20.454088729793472, -54.69786711780334",,,"8",,,,,,,"6",,,,,,,,
"190042","2019-07-11","01:00","avenida panambi vera","bairro tijuca",,,"8",,,,,,,,,,,,,,,,,
"190043","2019-07-15","18:50","rua evelina selingardi",,,,,,,,,,,,,,,,,"10",,,,
"190044","2019-08-11","09:40","rua coronel athos p. da silveira","jardim são conrado",,,,,,,,,,,,"8",,,,,,,,"10"
"190045","2019-08-18","08:45","rua clineu da costa moraes",,,"-20.494243386290332, -54.658024929436316","10",,,,,,,,,,,,"8",,,,,
"190046","2019-08-19","16:00","rua da divisão","aero rancho",,"-20.522230482163398, -54.63473755827245",,,,,,,,,,,,,,,,,,
"190047","2019-08-22","16:00","avenida pedro paulo soares de oliveira",,,,,,"8",,,,,,,"6",,,"10",,,,,
"190048","2019-08-25","20:14","avenida noroeste",,,,"10",,,,,,,,,,,,,,,,,
"190049","2019-08-27","16:50","rua guia lopes",,,"-20.468870334862533, -54.6345179871099",,,,,,,,,,"8",,,"10",,,,,
"190050","2019-08-31","10:30","avenida joão de paula ribeiro",,,,,,,,,,,,,"8","6",,,,"10",,,
"190051","2019-09-01","01:53","rua bahia ",,,,,,,,,,,,,,,,,,,,,
"190052","2019-09-01","04:30","avenida salgado filho",,,"-20.471753242577456, -54.634702244783185",,,"8",,,,,,,,,,,,,,,
"190053","2019-09-03","03:00","avenida sete","jardim carioca",,,,,,,,,,,,"8",,,,,,,,
"190054","2019-09-10","23:00","rua tupaciguara","jardim aeroporto",,"-20.445451686317167, -54.68638998711038",,,,,,,,,,"8",,,"10",,,,,
"190055","2019-09-21","07:00","avenida vitor meireles",,,,"8",,,,,,,,,"6",,,,,,,,
"190056","2019-09-29","23:20","rua prefeito heráclito diniz de figueiredo","são francisco",,,,,,,,,,,,"8",,,,,,,,
"190057","2019-09-22","13:16","avenida consul assaf trad",,,,,,,,,,,,,"8",,,,,,,,"6"
"190058","2019-10-08","20:20","avenida consul assaf trad",,,,"8",,,,,,,,,,,,,,,,,
"190059","2019-10-09","22:28","avenida gunter hans",,,,,,,,,,,,,,,,,,,,,
"190060","2019-10-12","18:25","avenida ezequiel ferreira lima",,,,"10",,,,,,,,,"8",,,,,,,,
"190061","2019-10-13","16:04","rua francisco martins de souza",,,,,"8",,,,,,,,,,,,,,,,"10"
"190062","2019-10-28","15:10","rua francisco martins de souza",,,,,,"8",,,,,,,,,,"10",,,,,
"190063","2019-11-10","11:04","avenida presidente vargas",,,,,,,,,,,,,,,,,,,,,
