CD_MUN,NM_MUN,pc_iluminacao,classe_ilu,tx_atropelamento,classe_obt,classe_bivariada
3521903,Itajobi,98.26,Alta,22.9621125143513,Alta,Alta_Alta
3508900,Caiabu,95.06,Média,26.7022696929239,Alta,Média_Alta
3525508,Joanópolis,93.38,Baixa,22.9095074455899,Alta,Baixa_Alta
3533106,Nova Guataporanga,95.47,Média,0.0,Baixa,Média_Baixa
3513900,Divinolândia,94.72,Média,8.8386070355312,Média,Média_Média
3553203,Taiúva,92.73,Baixa,29.7044408139017,Alta,Baixa_Alta
3554706,Torrinha,97.42,Alta,10.5440742302826,Média,Alta_Média
3538303,Piquerobi,99.09,Alta,30.3398058252427,Alta,Alta_Alta
3512100,Colômbia,98.01,Alta,14.7470874502286,Média,Alta_Média
3553609,Tapiratiba,92.17,Baixa,0.0,Baixa,Baixa_Baixa
3544608,Sabino,98.11,Alta,0.0,Baixa,Alta_Baixa
3551900,Severínia,97.44,Alta,6.79163270850312,Baixa,Alta_Baixa
3533007,Nova Granada,94.85,Média,20.2788339670469,Média,Média_Média
3517000,Getulina,86.48,Baixa,0.0,Baixa,Baixa_Baixa
3544202,Riolândia,96.08,Média,28.6998947670525,Alta,Média_Alta
3534104,Oriente,98.25,Alta,16.1812297734628,Média,Alta_Média
3523701,Itirapuã,98.52,Alta,34.123869646818,Alta,Alta_Alta
3514007,Dobrada,98.91,Alta,11.1632060727841,Média,Alta_Média
3547403,Santa Rita d'Oeste,100.0,Alta,35.84229390681,Alta,Alta_Alta
3506805,Bocaina,91.87,Baixa,0.0,Baixa,Baixa_Baixa
3532157,Nantes,97.31,Alta,0.0,Baixa,Alta_Baixa
3527504,Lucianópolis,97.18,Alta,0.0,Baixa,Alta_Baixa
3519253,Iaras,86.82,Baixa,0.0,Baixa,Baixa_Baixa
3547650,Santa Salete,98.8,Alta,0.0,Baixa,Alta_Baixa
3552007,Silveiras,94.76,Média,0.0,Baixa,Média_Baixa
3556909,Vista Alegre do Alto,96.68,Média,0.0,Baixa,Média_Baixa
3548054,Santo Antônio do Aracanguá,91.07,Baixa,0.0,Baixa,Baixa_Baixa
3542800,Ribeira,70.31,Baixa,63.1711939355654,Alta,Baixa_Alta
3526605,Lavrinhas,83.54,Baixa,13.646288209607,Média,Baixa_Média
3551207,Sarutaiá,94.52,Média,0.0,Baixa,Média_Baixa
3532843,Nova Canaã Paulista,95.63,Média,0.0,Baixa,Média_Baixa
3503406,Arealva,85.55,Baixa,24.1545893719807,Alta,Baixa_Alta
3542008,Quintana,95.69,Média,0.0,Baixa,Média_Baixa
3515301,Estrela do Norte,92.11,Baixa,0.0,Baixa,Baixa_Baixa
3556107,Valentim Gentil,97.44,Alta,20.645516482004,Média,Alta_Média
3516903,General Salgado,91.06,Baixa,28.7108814240597,Alta,Baixa_Alta
3541109,Presidente Alves,93.12,Baixa,0.0,Baixa,Baixa_Baixa
3535200,Palmeira d'Oeste,98.29,Alta,11.1185234600845,Média,Alta_Média
3540507,Porangaba,39.51,Baixa,18.5649308456326,Média,Baixa_Média
3522653,Itapirapuã Paulista,73.96,Baixa,0.0,Baixa,Baixa_Baixa
3521606,Irapuru,97.53,Alta,0.0,Baixa,Alta_Baixa
3531605,Monte Castelo,98.19,Alta,23.2504068821204,Alta,Alta_Alta
3531407,Monte Aprazível,98.49,Alta,13.2450331125828,Média,Alta_Média
3535705,Paraíso,94.47,Média,48.3014007406215,Alta,Média_Alta
3535002,Palestina,96.18,Média,0.0,Baixa,Média_Baixa
3529500,Mendonça,98.23,Alta,15.701051970482,Média,Alta_Média
3514924,Elisiário,95.65,Média,0.0,Baixa,Média_Baixa
3509452,Campina do Monte Alegre,92.11,Baixa,0.0,Baixa,Baixa_Baixa
3542701,Restinga,99.12,Alta,46.2107208872458,Alta,Alta_Alta
3510906,Cássia dos Coqueiros,63.54,Baixa,35.0262697022767,Alta,Baixa_Alta
3518008,Guarani d'Oeste,96.53,Média,0.0,Baixa,Média_Baixa
3540903,Pradópolis,98.5,Alta,28.8867063377434,Alta,Alta_Alta
